o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
relator relator NCMS000 0.632636 10507565-n:0.0160335
. . Fp 1 -

Se se CS 0.138341 -
o o DA0MS0 0.950254 -
representado representar VMP00SM 0.992518 01719302-v:0.000481646/00943837-v:0.000479214/01686132-v:0.000455255/02620587-v:0.00045082/02137132-v:0.000447764/01719921-v:0.000426594/00836236-v:0.00041395/00988028-v:0.0003851/02723733-v:0.000365219/02581675-v:0.000362594/01688771-v:0.000356289/02697725-v:0.000351721/02541509-v:0.000351611/02699497-v:0.0003494/01711445-v:0.000348189/00013615-v:0.000341709/02698443-v:0.000336876/02541921-v:0.00033357/01716882-v:0.000329513/01688256-v:0.000327773/01723690-v:0.000325089/02740352-v:0.000324809/02742482-v:0.000287543
não não RN 0.99985 00024073-r:0.00503819/00024587-r:0.00179388/00050681-r:0.00170779/00024356-r:0.00169468
for ir VMSF1S0 0.249524 01835496-v:0.000669468/02655135-v:0.000400502/01158872-v:0.000360876/02051694-v:0.000340579/01995549-v:0.000337195/01955984-v:0.000331767/01904930-v:0.000329894/02072849-v:0.000310484/02009433-v:0.000299167/02685951-v:0.000298426/01957529-v:0.000290138/02372605-v:0.000281441/01935233-v:0.000280709/02618149-v:0.0002801/02102398-v:0.000274704/00341560-v:0.000267871/02686471-v:0.000259178/02727039-v:0.000258758/02737876-v:0.000253348/01882814-v:0.000252155/02102002-v:0.00025176/01192992-v:0.00025165/01849221-v:0.000251481/02493030-v:0.00025029/01846916-v:0.000249257/02700455-v:0.000239901/01841079-v:0.00023664/00359916-v:0.000227901/01839538-v:0.000222965/00343898-v:0.0002198
encontrado encontrar VMP00SM 0.980769 02154508-v:0.000537054/02248465-v:0.000518528/02285629-v:0.000488752/02286687-v:0.000458146/00918872-v:0.000444381/01450713-a:0.000418125/02247977-v:0.000400929/01637982-v:0.00040024/00721437-v:0.000390828/02206462-v:0.000378905/02023107-v:0.000365866/00920336-v:0.000357895/02710402-v:0.000348788/00715239-v:0.000347786/02212275-v:0.000336355/02739480-v:0.000332478/00635904-v:0.000310425/02730326-v:0.000306613/02021653-v:0.000304719/02213336-v:0.000301949/01203369-v:0.000301547/02526811-v:0.000297975
, , Fc 1 -
ou ou CC 1 -
for ir VMSF1S0 0.249524 01835496-v:0.000669468/02655135-v:0.000400502/01158872-v:0.000360876/02051694-v:0.000340579/01995549-v:0.000337195/01955984-v:0.000331767/01904930-v:0.000329894/02072849-v:0.000310484/02009433-v:0.000299167/02685951-v:0.000298426/01957529-v:0.000290138/02372605-v:0.000281441/01935233-v:0.000280709/02618149-v:0.0002801/02102398-v:0.000274704/00341560-v:0.000267871/02686471-v:0.000259178/02727039-v:0.000258758/02737876-v:0.000253348/01882814-v:0.000252155/02102002-v:0.00025176/01192992-v:0.00025165/01849221-v:0.000251481/02493030-v:0.00025029/01846916-v:0.000249257/02700455-v:0.000239901/01841079-v:0.00023664/00359916-v:0.000227901/01839538-v:0.000222965/00343898-v:0.0002198
revel revel AQ0CS00 0.645546 -
, , Fc 1 -
o o DA0MS0 0.950254 -
Presidente_do_Conselho presidente_do_conselho NP00SP0 1 -
ou ou CC 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Subseção subseção NP00O00 1 04348548-n:0.00688766
deve dever VMIP3S0 0.99061 02731814-v:0.00247696/02254155-v:0.00246705/02253956-v:0.00238003
designar designar VMN0000 1 -
lhe lhe PP3CSD0 1 -
defensor defensor NCMS000 0.632633 09774783-n:0.00201731/10249950-n:0.0019586/09614684-n:0.00181023/09799461-n:0.00179597
dativo dativo AQ0MS00 0.638708 -
; ; Fx 1 -
É é NP00SP0 1 -
também também RG 0.998533 00047534-r:0.00359012/00068753-r:0.00330176
permitida permitir VMP00SF 0.992518 02255462-v:0.000872159/02721438-v:0.00071854/00802318-v:0.000717258/00803325-v:0.000708416/02327200-v:0.000681391/02423183-v:0.000657004/02745486-v:0.000654234/02358034-v:0.000647921/00512877-v:0.000582826/02671279-v:0.000574693/02295447-v:0.000546322/02255715-v:0.000537864/00669099-v:0.000513759
a o DA0FS0 0.675415 -
revisão revisão NCFS000 1 00879271-n:0.00131467/00399393-n:0.00131301/06428976-n:0.00125329/00897811-n:0.00120016/13411533-n:0.00116032/00143251-n:0.00113369
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
processo processo NCMS000 0.998008 01195867-n:0.00136053/01184814-n:0.000934944/01182654-n:0.000869268/01198307-n:0.000751097/05701363-n:0.000747142/01023820-n:0.000746093/01181902-n:0.000717365/01023636-n:0.00064271/00029677-n:0.000640409/05470189-n:0.000638826/05701738-n:0.000610127/06503551-n:0.000553096
disciplinar disciplinar VMN0000 0.529581 02553428-v:0.00692193
, , Fc 1 -
por por SP 1 -
